,tid,tname,title,desc,duration,stat,dynamic,rcmd_reason,bvid,owner,dimension,pub_location
11,171,电子竞技,哪个英雄好打掘墓?,不知道说啥  新年快乐各位,551,"{'aid': 863426920, 'view': 322722, 'danmaku': 746, 'reply': 563, 'favorite': 935, 'coin': 1141, 'share': 169, 'now_rank': 0, 'his_rank': 0, 'like': 28003, 'dislike': 0}",,"{'content': '', 'corner_mark': 0}",BV1eG4y1Q7iD,"{'mid': 703182646, 'name': '奇啊是我', 'face': 'https://i1.hdslb.com/bfs/face/547dfd036073e09408830f025a1a5be8898f182b.jpg'}","{'width': 1080, 'height': 1192, 'rotate': 0}",山东
12,228,人文历史,有多少人注意到：他嘴角有根本擦不干净的血迹,“如果有来世，我还是选择中国，选择核武器事业，选择你”,149,"{'aid': 435855293, 'view': 2879374, 'danmaku': 4578, 'reply': 2778, 'favorite': 27979, 'coin': 47622, 'share': 2187, 'now_rank': 0, 'his_rank': 5, 'like': 289832, 'dislike': 0}",,"{'content': '', 'corner_mark': 0}",BV1S3411R7CC,"{'mid': 404194769, 'name': '了不起De中国人', 'face': 'https://i2.hdslb.com/bfs/face/1b1f8ef7427502ead39a9af2498c9616c6c164ff.jpg'}","{'width': 1920, 'height': 1080, 'rotate': 0}",湖北
13,201,科学科普,鹿鞭汤，新的一年，以补肾开始，祝大家快乐。,,350,"{'aid': 523410173, 'view': 226725, 'danmaku': 1632, 'reply': 898, 'favorite': 2660, 'coin': 888, 'share': 3665, 'now_rank': 0, 'his_rank': 0, 'like': 37472, 'dislike': 0}",,"{'content': '', 'corner_mark': 0}",BV1AM411B7sw,"{'mid': 2142394537, 'name': '医者正心', 'face': 'https://i1.hdslb.com/bfs/face/181ffe09ab4b654ff84a5f527777304eb39dcb29.jpg'}","{'width': 3840, 'height': 2160, 'rotate': 0}",河北
14,231,计算机技术,写了十年 Python 的他，现在怎么样了？,每一个视频刚发布时候，我都会守着评论区，一般会连续看四五个小时，因为刚发布的时候，基本都是先推送给核心粉丝的，对于所有粉丝的意见我都会认真斟酌，之前看到评论区的小伙伴说，能不能教一点 Python 的东西，这个视频我就给大家奉上一个 Python 的入门级教程。为了不让你进收藏夹吃灰，我会尽量控制在 10分钟内 讲完，可能会稍微超出一点，请一定跟上我的步伐，如果那一句跟不上，可以在弹幕里面告诉我，我会收集弹幕的反馈，把一些难懂的内容，转换成通俗易懂的语言。那么接下来，就让我们开始这一堂 Python 课…,784,"{'aid': 778343613, 'view': 636990, 'danmaku': 2616, 'reply': 1754, 'favorite': 16843, 'coin': 11560, 'share': 2966, 'now_rank': 0, 'his_rank': 0, 'like': 28671, 'dislike': 0}",他曾经是个写 Python 的，现在……,"{'content': '', 'corner_mark': 0}",BV1ny4y197dC,"{'mid': 319521269, 'name': '英雄哪里出来', 'face': 'https://i2.hdslb.com/bfs/face/2487e6e371f0d90c8d193ebccfaf2b55503b7a08.jpg'}","{'width': 1920, 'height': 1080, 'rotate': 0}",浙江
15,213,美食测评,短视频百万粉丝博主推荐的网红零食，都是些什么东西？？？,无广！神之舌真实测评分享，口味仅代表我个人，仅供大家参考！如果你们觉得本期有用，大佬们可以三连下吗？注：封神榜>名士榜>凡人榜>妖魔榜,457,"{'aid': 905591344, 'view': 1196195, 'danmaku': 5269, 'reply': 967, 'favorite': 7184, 'coin': 10200, 'share': 611, 'now_rank': 0, 'his_rank': 82, 'like': 76114, 'dislike': 0}",,"{'content': '', 'corner_mark': 0}",BV1LP4y1r77H,"{'mid': 478691043, 'name': '穿毛裤的小拉泽', 'face': 'https://i0.hdslb.com/bfs/face/023c69a89a95db1b7991a024c0806d2ed7e58021.jpg'}","{'width': 1920, 'height': 1080, 'rotate': 0}",山东
16,251,三农,用10个月时间，亲手种一朵棉花是什么体验？,,105,"{'aid': 223075812, 'view': 2793267, 'danmaku': 865, 'reply': 1064, 'favorite': 20208, 'coin': 2496, 'share': 1271, 'now_rank': 0, 'his_rank': 71, 'like': 194602, 'dislike': 0}",,"{'content': '', 'corner_mark': 0}",BV1E8411P7qa,"{'mid': 1853727847, 'name': '花前先森', 'face': 'https://i1.hdslb.com/bfs/face/ec3f22412934abbeb600fbfefae77b1be071f420.jpg'}","{'width': 1920, 'height': 1080, 'rotate': 0}",浙江
17,47,短片·手书·配音,【原神幼儿园】小孩们有团子吃，但是掉地上了，继续哭哭,"*感兴趣的可以私信@東琳  合作配音
*東琳是唯一授权的原画视频up，除了配音并没有和其他up主合作(º﹃º )
*这些视频都是東琳做的
*视频禁止转载以及使用，如有发现必定追究
—————————————————
Artist/画家：twitter ＠sesield
视频制作：@東琳  
其他详细内容请到東琳主页进行查看
————————————————— 
感谢大家的关注点赞投币收藏，東琳会继续做更多有趣的视频",192,"{'aid': 948296496, 'view': 687565, 'danmaku': 979, 'reply': 282, 'favorite': 22678, 'coin': 19368, 'share': 1647, 'now_rank': 0, 'his_rank': 30, 'like': 121702, 'dislike': 0}",,"{'content': '', 'corner_mark': 0}",BV1cs4y147x2,"{'mid': 1515299675, 'name': '東琳DL', 'face': 'https://i2.hdslb.com/bfs/face/4790df2de6cc23b9d590b592ae913ac4861e527d.jpg'}","{'width': 1920, 'height': 1080, 'rotate': 0}",中国澳门
18,47,短片·手书·配音,这一定就是原片吧（葫芦娃版）,"各位新年快乐～
看到有人说想看葫芦娃，所以尝试一波
视频剧情与人设皆为虚构哦",127,"{'aid': 223243292, 'view': 1220893, 'danmaku': 2037, 'reply': 1492, 'favorite': 13234, 'coin': 14174, 'share': 17658, 'now_rank': 0, 'his_rank': 0, 'like': 109073, 'dislike': 0}",,"{'content': '', 'corner_mark': 0}",BV1b8411w7zt,"{'mid': 37963636, 'name': '一只风风o', 'face': 'https://i1.hdslb.com/bfs/face/7b51ecbf97f83fd579a71c9b7766f680d08b338c.jpg'}","{'width': 1920, 'height': 1080, 'rotate': 0}",湖南
19,182,影视杂谈,这就吹爆了？大胆开麦锐评《满江红》以及易烊千玺演技！,如果你喜欢这个视频不妨给我个关注和一键三连鸭！,475,"{'aid': 650851098, 'view': 1957883, 'danmaku': 13965, 'reply': 277, 'favorite': 10730, 'coin': 21253, 'share': 8592, 'now_rank': 0, 'his_rank': 77, 'like': 80511, 'dislike': 0}",新鲜的锐评来了！给个三连速速更新下一期！,"{'content': '', 'corner_mark': 0}",BV1yY4y1o78y,"{'mid': 777536, 'name': 'LexBurner', 'face': 'https://i2.hdslb.com/bfs/face/27e06996840a7cb3ee0fee52f6b4616cd6567def.jpg'}","{'width': 1920, 'height': 1080, 'rotate': 0}",上海
0,172,手机游戏,战双再创新高峰！含英将是A级角色新的开始！,"░░░░░░░░░░░▄▄
░░░░░░░░░░░█░█
░░░░░░░░░░░█░█
░░░░░░░░░░█░░█
░░░░░░░░░█░░░█
███████▄▄█░░░██████▄
▓▓▓▓▓▓█░░░░░░░░░░░░█
▓▓▓▓▓▓█░░░░░░░░░░░░█
▓▓▓▓▓▓█░░░░░░░░░░░░█
▓▓▓▓▓▓█░░░░░░░░░░░░█
▓▓▓▓▓▓█░░░░░░░░░░░░█
▓▓▓▓▓▓█████░░░░░░░░█
██████▀░░░▀▀██████▀
░░░░░░░░░░▄▀▀▀",147,"{'aid': 480995307, 'view': 178398, 'danmaku': 313, 'reply': 1234, 'favorite': 1378, 'coin': 1364, 'share': 5253, 'now_rank': 0, 'his_rank': 0, 'like': 8712, 'dislike': 0}",,"{'content': '', 'corner_mark': 0}",BV1KT411176Q,"{'mid': 344490740, 'name': '笙歌-Dawn', 'face': 'https://i2.hdslb.com/bfs/face/41efbf2f89ad425e6dd852796dda41ad28bed636.jpg'}","{'width': 2160, 'height': 1080, 'rotate': 0}",江苏
